cost_id,airfare,other_transport,lodging,meals,other_expenses,total,ref_id
2001,359.42,55.74,534.83,371.12,251.03,1572.14,1
2002,1940.41,269.51,1406.98,1158.97,792.03,5567.9,2
2003,636.57,167.5,446.84,340.55,584.52,2175.98,3
2004,364.15,112.27,534.83,346.79,370.4,1728.44,4
2005,216.62,33,781.83,231.5,402.3,1665.25,5
2006,742.95,44.65,633.3,312.65,743.5,2477.05,6
2007,717.54,16.65,333.9,302.2,18.41,1388.7,7
2008,482.5,232.96,534.83,346.79,380.59,1977.67,8
2009,862.39,58.61,152.54,168.9,793.81,2036.25,9
2010,275.66,232.96,153.45,130.9,421.01,1213.98,10
2011,1431.45,137.12,709.49,393.3,218.07,2889.43,11
2012,610.08,375.3,245.54,264.4,798.06,2293.38,12
2013,971.13,266.19,196.35,144.95,360.03,1938.65,13
2014,910.97,113,496.01,208.13,124.03,1852.14,14
2015,456.58,52.9,247.47,208.13,938.85,1903.93,15
2016,1142.64,232.96,189.73,179.75,255.51,2000.59,16
2017,967.42,232.96,230.84,69.8,783.01,2284.03,17
2018,12063.41,148.58,3359.17,2097.42,771.56,18440.14,18
2019,12063.41,148.58,3428.08,2107.56,665.17,18412.8,19
2020,624.54,60.6,139.59,159.95,706.95,1691.63,20
2021,656.93,60.6,164.29,177.05,386.4,1445.27,21
2022,618.96,60.6,1766.26,457.53,449.78,3353.13,22
2023,2873.63,97.95,335.41,295.35,612.71,4215.05,23
2024,1124.11,56.41,335.41,295.35,234.25,2045.53,24
2025,794.67,56.41,230.84,115.75,138.81,1336.48,25
2026,890.07,280.86,496.73,330.7,606.75,2605.11,26
2027,999.58,80,224.91,143.65,656.48,2104.62,27
2028,1909.85,190.58,1011.46,555.5,483.01,4150.4,28
2029,551.72,190.58,230.84,115.75,656.56,1745.45,29
2030,656.93,94.78,152.25,177.05,47.05,1128.06,30
2031,1376.89,100.04,158.92,179,818.77,2633.62,31
2032,958.23,152.88,235.04,277.45,501.41,2125.01,32
2033,758.51,26,268.21,34.45,16.45,1103.62,33
2034,814.5,74.1,230.84,97.7,982.77,2199.91,34
2035,12333.45,25.97,3359.17,2141.81,147.52,18007.92,35
2036,1237.9,25.97,164.29,177.25,637.63,2243.04,36
2037,618.96,232.96,1766.26,457.53,821.4,3897.11,37
2038,2042.68,494.04,379.46,213.45,806.77,3936.4,38
2039,3351.62,52.47,474.19,232.25,490.94,4601.47,39
2040,1138.19,232.96,230.84,115.75,939.87,2657.61,40
2041,1058.9,26.23,224.91,143.65,186.06,1639.75,41
2042,1691.73,26.23,446.44,168.25,828.86,3161.51,42
2043,618.96,66.81,1766.26,474.84,168.35,3095.22,43
2044,1132.94,114.59,284.28,274.3,722.23,2528.34,44
2045,923.97,64.7,143.75,179.75,614.04,1926.21,45
2046,609.35,108.83,143.75,126.5,130.45,1118.88,46
2047,864.85,108.83,164.37,161.7,531.37,1831.12,47
2048,661.54,227.7,329.3,179.9,990.92,2389.36,48
2049,1004.79,219.69,284.28,274.3,413.37,2196.43,49
2050,794.67,219.69,230.84,115.75,434.12,1795.07,50
2051,842.65,219.69,329.3,179.9,71.91,1643.45,51
2052,935.2,43.9,224.91,143.65,432.46,1780.12,52
2053,971.13,86.57,534.83,346.79,977.58,2916.9,53
2054,366.97,240.5,207.65,114.4,993.81,1923.33,54
2055,664.7,223.42,863.42,891.35,862.43,3505.32,55
2056,175.92,593.96,157.87,763.85,470.57,2162.17,56
2057,285.07,40,901.38,312.65,435.25,1974.35,57
2058,281.03,10,1401.39,428.4,247.19,2368.01,58
2059,578.49,774.72,653.02,148.86,623.24,2778.33,59
2060,501.69,364.26,653.02,81.3,559.78,2160.05,60
2061,951.11,473.62,165.83,196.15,818.2,2604.91,61
2062,1074.28,30,165.83,97.7,131.51,1499.32,62
2063,324.91,119.87,559.52,117.84,461.19,1583.33,63
2064,360.26,236.1,559.85,351.19,378.04,1885.44,64
2065,439.16,595.4,97.49,357.45,572.2,2061.7,65
2066,130.84,383.63,264.13,891.47,434.54,2104.61,66
2067,2137,23,982.37,454.24,497.46,4094.07,67
2068,2886.35,23,982.37,437.09,493.48,4822.29,68
2069,623.19,23,174,119.95,477.95,1418.09,69
2070,6909.34,23,3039.93,1741.06,863.6,12576.93,70
2071,1211.5,23,863.72,437.09,761.35,3296.66,71
2072,6909.34,23,2962.94,1741.06,160.66,11797,72
2073,1710.28,119.69,620.79,366.1,29.5,2846.36,73
2074,1629.2,50.78,449.34,225.5,889.6,3244.42,74
2075,1942.87,63.18,166.95,196.15,766.56,3135.71,75
2076,3677.98,25.97,556.84,313.55,477.49,5051.83,76
2077,1282.18,35.25,900.83,127.1,751.42,3096.78,77
2078,609.43,26,288.85,80.4,60.29,1064.97,78
2079,1815.5,26,929.47,480.25,543.91,3795.13,79
2080,808.63,17,471.44,82.05,67.3,1446.42,80
2081,750.18,97.09,354.42,115.6,161.58,1478.87,81
2082,839.26,450.82,176.47,511.95,538.69,2517.19,82
2083,996.8,128.04,424.38,203.45,437.73,2190.4,83
2084,775.4,131.32,599.55,713.71,409.36,2629.34,84
2085,961.96,89.33,253.37,204.36,229.9,1738.92,85
2086,144.69,404.19,763.52,963.73,282.54,2558.67,86
2087,561.48,35,763.52,81.3,991.89,2433.19,87
2088,1435.45,35,424.38,203.45,260.45,2358.73,88
2089,113.78,541.64,24.64,181.69,432.47,1294.22,89
2090,866.01,541.64,253.37,204.36,962.26,2827.64,90
2091,439.19,229.19,263.04,370.18,148.7,1450.3,91
2092,951.11,86.15,165.83,196.15,908.42,2307.66,92
2093,828.21,88.25,397.61,232.4,524.58,2071.05,93
2094,687.16,165.03,284.28,242.1,526.68,1905.25,94
2095,828.27,17.77,888.93,249.55,151.95,2136.47,95
2096,1957.59,17.77,1776.3,669.84,202.41,4623.91,96
2097,563.02,33.13,275.72,214.2,282.69,1368.76,97
2098,1038.02,135.1,403.16,160.95,148.53,1885.76,98
2099,1733.67,92.57,713.41,312.65,151.14,3003.44,99
2100,732.25,92.58,446.83,167.35,737.28,2176.29,100
2101,1009.43,71.73,164.37,86.95,779.31,2111.79,101
2102,1257.83,92.3,164.37,115.75,64.32,1694.57,102
2103,1473.98,90.53,254.87,179.75,746.76,2745.89,103
2104,1072.9,90.53,546.78,338.65,602.89,2651.75,104
2105,1254.98,222.4,990.24,388.45,773.57,3629.64,105
2106,553.84,222.4,288.85,115.75,237.6,1418.44,106
2107,1899.28,134.66,684.59,283.1,360.99,3362.62,107
2108,828.27,134.66,888.93,249.55,349.48,2450.89,108
2109,1957.59,134.66,1776.3,669.84,408.99,4947.38,109
