ref_id,disclosure_group,title,name,purpose
1,FOVC,Minister,O Sullivan  Sue,Leadership in Counter Terrorism conference
2,FOVC,Minister,O Sullivan or  Sue,International Symposium on Victims of Terrorism  the Victim Support Europe Conference and the Victims of Crime International executive meeting
3,FOVC,Minister,O Sullivan or  Sue,Victims and Survivors of Crime Week 2017 Federal Symposium and presented at the Victims Advisory Committee Annual meeting
4,FOVC,Minister,O Sullivan or  Sue,Expert Advisory Council Meeting   Saskatchewan
5,FOVC,Minister,O Sullivan or  Sue,Canadian Association of Chiefs of Police  CACP  Victims Committee Meeting and at the CACP Counter Terrorism Meeting and attended the CACP Annual Conference
6,FOVC,Minister,O Sullivan or  Sue,Public Engagement on the Federal Government s Criminal Justice System Review
7,FOVC,Minister,O Sullivan or  Sue,Public Engagement on the Federal Government s Criminal Justice System Review
8,FOVC,Minister,O Sullivan or  Sue,Ontario Provincial Police Senior Officers Annual Meeting
9,FOVC,Minister,O Sullivan or  Sue,Community presentation and presentation to Victims Services Agencies
10,FOVC,Minister,O Sullivan or  Sue,National Child Exploitation Conference
11,FOVC,Minister,O Sullivan or  Sue,Public Engagement on the Federal Government s Criminal Justice System Review
12,FOVC,Minister,Illingworth or  Heidi,Visited two healing lodges for the purposes of education
13,FOVC,Minister,Illingworth or  Heidi,Stakeholder meetings
14,MPSES,Minister,Lawrence MacAulay,Bilateral meeting with AgroPur
15,MPSES,Deputy Minister,Chris Forbes,Agri Food Economic Strategy Table meeting
16,MPSES,Communications Advisor,Oliver Anderson,Minister to Agricultural Greenhouse Gases Program Announcement
17,MPSES,Minister,Lawrence MacAulay,Government s Consultations on a Food Policy for Canada
18,MPSES,Director of Policy,Maxime Dea,Minister to the Agriculture and Agrifood Canada Ministerial Mission to Vietnam and India
19,MPSES,Director of Communications,Guy Gallant,Minister at the Agriculture And Agrifood Canada Ministerial Mission to Vietnam and India
20,MPSES,Director of Communications,Guy Gallant,government meetings
21,MPSES,Director of Communications,Guy Gallant,Minister to Saskatchewan Association of Rural Municipalities Convention  Meetings with Saskatchewan Minister of Agriculture and meetings with stakeholders
22,MPSES,Director of Communications,Guy Gallant,Minister to attend Seafood Expo North America  attend bilateral meetings with provincial and state legislators
23,MPSES,Director of Communications,Guy Gallant,Minister to an announcement in Charlottetown to accompany the Minister to meetings with Canola Farmers  producers and processors in Regina 
24,MPSES,Director of Communications,Guy Gallant,Minister for an announcement on behalf of the Government of Canada
25,MPSES,Director of Communications,Guy Gallant,Minister to a bilateral meeting with Ontario Minister of Agriculture and to the opening and tour of Salon International de l alimentation
26,MPSES,Director of Communications,Guy Gallant,Minister for a government announcement and meetings with the Premier and stakeholder
27,MPSES,Director of Communications,Guy Gallant,Minister to Quebec Outreach  attend a bilateral meeting with the Quebec Minister of Agriculture  Fisheries and Food  meeting with L Union des producteurs Agricoles and an interview with la Terre de Chez Nous
28,MPSES,Director of Communications,Guy Gallant,Minister with visit from German Delegation to Prince Edward Island  Meeting with University of Prince Edward Island president May 22 23  Minister on an Outreach to Alberta where he took part in Grain Industry round table on Transportation  a roundtable with Beef SectorStakeholders and Local Media Interviews May 24 to May 26
29,MPSES,Director of Communications,Guy Gallant,Minister to launch the Government s consultations on a Food Policy for Canada
30,MPSES,Policy Advisor,Abed Harb,Minister to Saskatchewan Association of Rural Municipalities Convention  meetings with Saskatchewan Minister of Agriculture and meetings with stakeholders
