Year,Month,City_ID,Unemployment_Rate (%),House_Prices_Index_Value,Household_Expenditure_CPI,Median_Income
2021,1,6,6.8,103.1,139,7044.166667
2021,2,6,6.5,103.1,139.3,7044.166667
2021,3,6,6.2,103.1,139.5,7044.166667
2021,4,6,5.8,104.7,139.7,7044.166667
2021,5,6,5.9,104.7,140.2,7044.166667
2021,6,6,6.2,104.7,140.4,7044.166667
2021,7,6,6.5,106.2,140.6,7044.166667
2021,8,6,6.7,106.2,140.9,7044.166667
2021,9,6,6.5,106.2,140.9,7044.166667
2021,10,6,6.4,106.8,141.7,7044.166667
2021,11,6,5.9,106.8,141.9,7044.166667
2021,12,6,5.4,106.8,141.3,7044.166667
2021,1,2,5.8,101.9,132.3,6830
2021,2,2,6,101.9,132.2,6830
2021,3,2,6.2,101.9,132.1,6830
2021,4,2,6.2,102.7,130.1,6830
2021,5,2,6.1,102.7,131,6830
2021,6,2,6,102.7,130.5,6830
2021,7,2,6,103.7,130.7,6830
2021,8,2,6,103.7,130.4,6830
2021,9,2,6.1,103.7,130.4,6830
2021,10,2,6,104.6,131,6830
2021,11,2,5.8,104.6,131,6830
2021,12,2,5.9,104.6,130.2,6830
2021,1,4,5.1,103.6,157.3,8090
2021,2,4,5.2,103.6,157.3,8090
2021,3,4,4.8,103.6,157.3,8090
2021,4,4,4.1,105.8,154.5,8090
2021,5,4,4.1,105.8,154.2,8090
2021,6,4,4.1,105.8,154.2,8090
2021,7,4,4.3,107.5,154.2,8090
2021,8,4,4.6,107.5,154.2,8090
2021,9,4,4.6,107.5,154.2,8090
2021,10,4,4.8,109.5,154.8,8090
2021,11,4,4.7,109.5,154.9,8090
2021,12,4,5,109.5,154.8,8090
2021,1,1,6,103.6,128.2,6183.333333
2021,2,1,5.8,103.6,127.4,6183.333333
2021,3,1,5.7,103.6,126.8,6183.333333
2021,4,1,5.8,105.8,125.3,6183.333333
2021,5,1,6.1,105.8,124.7,6183.333333
2021,6,1,6.3,105.8,124.4,6183.333333
2021,7,1,6.1,107.5,124.6,6183.333333
2021,8,1,6.1,107.5,124.7,6183.333333
2021,9,1,6.1,107.5,124.3,6183.333333
2021,10,1,6.3,109.5,124.6,6183.333333
2021,11,1,6.3,109.5,124.5,6183.333333
2021,12,1,6.1,109.5,125.6,6183.333333
2021,1,8,5.1,,,7308.333333
2021,2,8,5.4,,,7308.333333
2021,3,8,5.2,,,7308.333333
2021,4,8,5.5,,,7308.333333
2021,5,8,5.7,,,7308.333333
2021,6,8,6,,,7308.333333
2021,7,8,5.6,,,7308.333333
2021,8,8,5.3,,,7308.333333
2021,9,8,4.9,,,7308.333333
2021,10,8,5,,,7308.333333
2021,11,8,5,,,7308.333333
2021,12,8,5,,,7308.333333
2021,1,9,5.9,103.6,135,6371.666667
2021,2,9,6.2,103.6,134.6,6371.666667
2021,3,9,6.4,103.6,134.6,6371.666667
2021,4,9,6.7,105.8,134.6,6371.666667
2021,5,9,6.8,105.8,135.1,6371.666667
2021,6,9,6.7,105.8,137.8,6371.666667
2021,7,9,6.6,107.5,137.8,6371.666667
2021,8,9,6.3,107.5,139,6371.666667
2021,9,9,6.1,107.5,139,6371.666667
2021,10,9,6,109.5,139.1,6371.666667
2021,11,9,5.8,109.5,137.8,6371.666667
2021,12,9,5.7,109.5,137.6,6371.666667
2021,1,10,4.8,103.6,157,7813.333333
2021,2,10,5.2,103.6,157,7813.333333
2021,3,10,5.2,103.6,159.3,7813.333333
2021,4,10,5.8,105.8,160.5,7813.333333
2021,5,10,6.4,105.8,160.6,7813.333333
2021,6,10,6.6,105.8,160.7,7813.333333
2021,7,10,6.3,107.5,160.6,7813.333333
2021,8,10,6.3,107.5,160.6,7813.333333
2021,9,10,6.3,107.5,160.7,7813.333333
2021,10,10,6.7,109.5,160.7,7813.333333
2021,11,10,6.1,109.5,157.9,7813.333333
2021,12,10,5.7,109.5,157.7,7813.333333
2021,1,3,7.8,103.6,167.7,7920.833333
2021,2,3,7.9,103.6,168.3,7920.833333
2021,3,3,8,103.6,167.1,7920.833333
2021,4,3,7.8,105.8,169.6,7920.833333
2021,5,3,7.7,105.8,167.1,7920.833333
2021,6,3,7.6,105.8,166,7920.833333
2021,7,3,7.9,107.5,168.6,7920.833333
2021,8,3,8.1,107.5,168.6,7920.833333
2021,9,3,8.1,107.5,168.3,7920.833333
2021,10,3,8.1,109.5,169.4,7920.833333
2021,11,3,7.8,109.5,170.8,7920.833333
2021,12,3,7.5,109.5,171,7920.833333
2021,1,5,7.1,103.6,194.3,8305.833333
2021,2,5,6.8,103.6,196.6,8305.833333
2021,3,5,6.6,103.6,189,8305.833333
2021,4,5,6.6,105.8,197.7,8305.833333
2021,5,5,6.6,105.8,186,8305.833333
2021,6,5,6.6,105.8,186.4,8305.833333
2021,7,5,6.4,107.5,197,8305.833333
2021,8,5,6.3,107.5,195,8305.833333
2021,9,5,6.3,107.5,196,8305.833333
2021,10,5,6.5,109.5,198.9,8305.833333
2021,11,5,6.2,109.5,203.1,8305.833333
2021,12,5,6.4,109.5,203.7,8305.833333
2021,1,7,4.1,103.6,141,6638.333333
2021,2,7,3.9,103.6,141,6638.333333
2021,3,7,4,103.6,141.1,6638.333333
2021,4,7,4.2,105.8,144.4,6638.333333
2021,5,7,4.3,105.8,144.4,6638.333333
2021,6,7,4.4,105.8,144.5,6638.333333
2021,7,7,4.5,107.5,144.4,6638.333333
2021,8,7,4.7,107.5,144.3,6638.333333
2021,9,7,4.5,107.5,144.4,6638.333333
2021,10,7,4.2,109.5,144.5,6638.333333
2021,11,7,4.2,109.5,144.6,6638.333333
2021,12,7,4.5,109.5,144.4,6638.333333
2022,1,6,5,107.5,141.3,7162.5
2022,2,6,4.8,107.5,141.8,7162.5
2022,3,6,4.9,107.5,142.3,7162.5
2022,4,6,5.2,107.7,142.6,7162.5
2022,5,6,5.3,107.7,143.1,7162.5
2022,6,6,5.3,107.7,142.9,7162.5
2022,7,6,5.3,108.1,143.3,7162.5
2022,8,6,5.7,108.1,143.3,7162.5
2022,9,6,5.8,108.1,143.3,7162.5
2022,10,6,6.1,109,144.1,7162.5
2022,11,6,6.1,109,145,7162.5
2022,12,6,6.6,109,145.5,7162.5
2022,1,2,6,106.2,130.2,7151.666667
2022,2,2,5.9,106.2,130.2,7151.666667
2022,3,2,5.7,106.2,130.4,7151.666667
2022,4,2,5.5,107.1,129.2,7151.666667
2022,5,2,5.5,107.1,129,7151.666667
2022,6,2,5.6,107.1,128.7,7151.666667
2022,7,2,5.8,107.8,128.3,7151.666667
2022,8,2,5.7,107.8,128,7151.666667
2022,9,2,5.6,107.8,127.9,7151.666667
2022,10,2,5.5,108.6,128.6,7151.666667
2022,11,2,5.9,108.6,128.5,7151.666667
2022,12,2,6,108.6,127.7,7151.666667
2022,1,4,5.3,110.5,155.5,8363.333333
2022,2,4,5.1,110.5,155.5,8363.333333
2022,3,4,4.9,110.5,155.6,8363.333333
2022,4,4,5.4,111.3,157.2,8363.333333
2022,5,4,5.4,111.3,157.4,8363.333333
2022,6,4,5.5,111.3,157.3,8363.333333
2022,7,4,4.9,113,157.9,8363.333333
2022,8,4,4.8,113,157.8,8363.333333
2022,9,4,4.4,113,157.8,8363.333333
2022,10,4,4.2,113.3,154.9,8363.333333
2022,11,4,4.2,113.3,158.1,8363.333333
2022,12,4,4.2,113.3,158.1,8363.333333
2022,1,1,6.2,110.5,163.8,6231.666667
2022,2,1,6.3,110.5,163.7,6231.666667
2022,3,1,6.5,110.5,163.9,6231.666667
2022,4,1,6.5,111.3,167.6,6231.666667
2022,5,1,6.2,111.3,167.9,6231.666667
2022,6,1,5.9,111.3,167.9,6231.666667
2022,7,1,5.7,113,168.3,6231.666667
2022,8,1,5.8,113,168.3,6231.666667
2022,9,1,5.8,113,168.2,6231.666667
2022,10,1,5.7,113.3,165.1,6231.666667
2022,11,1,5.6,113.3,166,6231.666667
2022,12,1,5.6,113.3,166.1,6231.666667
2022,1,8,4.9,,,7254.166667
2022,2,8,4.6,,,7254.166667
2022,3,8,4.8,,,7254.166667
2022,4,8,4.9,,,7254.166667
2022,5,8,4.9,,,7254.166667
2022,6,8,4.9,,,7254.166667
2022,7,8,5.7,,,7254.166667
2022,8,8,5.9,,,7254.166667
2022,9,8,6,,,7254.166667
2022,10,8,5.3,,,7254.166667
2022,11,8,5.2,,,7254.166667
2022,12,8,5.2,,,7254.166667
2022,1,9,5.6,110.5,137.4,6520.833333
2022,2,9,5.5,110.5,138.4,6520.833333
2022,3,9,5.3,110.5,138.5,6520.833333
2022,4,9,5.2,111.3,143.2,6520.833333
2022,5,9,5.1,111.3,144.5,6520.833333
2022,6,9,5.2,111.3,145.9,6520.833333
2022,7,9,5.3,113,145.4,6520.833333
2022,8,9,5.5,113,145.3,6520.833333
2022,9,9,5.3,113,145.3,6520.833333
2022,10,9,5.2,113.3,145.5,6520.833333
2022,11,9,5.3,113.3,137,6520.833333
2022,12,9,5.3,113.3,137,6520.833333
2022,1,10,4.8,110.5,159.1,7982.5
2022,2,10,4.9,110.5,158.8,7982.5
2022,3,10,4.7,110.5,159.1,7982.5
2022,4,10,4.7,111.3,164,7982.5
2022,5,10,4.4,111.3,164,7982.5
2022,6,10,4.7,111.3,163.9,7982.5
2022,7,10,5.3,113,163.9,7982.5
2022,8,10,5.2,113,163.8,7982.5
2022,9,10,5.6,113,163.9,7982.5
2022,10,10,5.3,113.3,164,7982.5
2022,11,10,6,113.3,164,7982.5
2022,12,10,6,113.3,164.1,7982.5
2022,1,3,7.3,110.5,171.9,7965
2022,2,3,7.5,110.5,172.6,7965
2022,3,3,7.5,110.5,173.4,7965
2022,4,3,7.3,111.3,173.3,7965
2022,5,3,6.9,111.3,172.4,7965
2022,6,3,6.8,111.3,168.9,7965
2022,7,3,6.7,113,169.2,7965
2022,8,3,7.3,113,170.8,7965
2022,9,3,7.1,113,171,7965
2022,10,3,7.2,113.3,172.7,7965
2022,11,3,6.9,113.3,173.5,7965
2022,12,3,7.1,113.3,174.6,7965
2022,1,5,6.4,110.5,203.7,8385
2022,2,5,7,110.5,206.8,8385
2022,3,5,7.1,110.5,212.1,8385
2022,4,5,6.9,111.3,215.4,8385
2022,5,5,6.9,111.3,212.4,8385
2022,6,5,7.1,111.3,196,8385
2022,7,5,7.5,113,198,8385
2022,8,5,7.4,113,204.1,8385
2022,9,5,7.3,113,204.1,8385
2022,10,5,7.3,113.3,207.9,8385
2022,11,5,7.8,113.3,210.3,8385
2022,12,5,8.1,113.3,220.3,8385
2022,1,7,4.8,110.5,149.1,6730
2022,2,7,4.9,110.5,149.1,6730
2022,3,7,4.8,110.5,149.2,6730
2022,4,7,4.4,111.3,151.7,6730
2022,5,7,4.2,111.3,151.7,6730
2022,6,7,4.1,111.3,151.5,6730
2022,7,7,4.1,113,151.5,6730
