year,month,city_id,actual_incidents,total_cleared,total_persons_charged,rate_per_100000_population,rate_total_persons_charged_per_100000_population_aged_12_year
2021,1,1,16957,6246,4647,262.6,81.77
2021,2,1,17002,6229,4645,263.33,81.72
2021,3,1,17047,6213,4643,264.06,81.67
2021,4,1,17092,6196,4640,264.79,81.61
2021,5,1,17137,6179,4638,265.52,81.56
2021,6,1,17182,6162,4636,266.25,81.51
2021,7,1,17227,6145,4633,266.98,81.46
2021,8,1,17272,6128,4631,267.71,81.4
2021,9,1,17317,6111,4629,268.44,81.35
2021,10,1,17363,6094,4626,269.17,81.3
2021,11,1,17408,6078,4624,269.9,81.25
2021,12,1,17453,6061,4622,270.63,81.19
2022,1,1,17994,5858,4594,279.4,80.56
2022,2,1,18535,5656,4566,288.17,79.93
2022,3,1,19076,5453,4537,296.94,79.3
2022,4,1,19617,5251,4509,305.71,78.67
2022,5,1,20158,5048,4481,314.48,78.04
2022,6,1,20699,4846,4453,323.25,77.4
2022,7,1,21240,4643,4425,332.02,76.77
2022,8,1,21781,4441,4397,340.79,76.14
2022,9,1,22322,4238,4369,349.56,75.51
2022,10,1,22864,4036,4341,358.33,74.88
2022,11,1,23405,3833,4313,367.1,74.25
2022,12,1,23946,3631,4285,375.86,73.61
2023,1,1,27086,4309,4510,417.42,75.41
2023,2,1,30226,4988,4735,458.98,77.21
2023,3,1,33367,5666,4959,500.54,79
2023,4,1,36507,6344,5184,542.1,80.8
2023,5,1,39647,7023,5409,583.66,82.6
2023,6,1,42788,7701,5634,625.21,84.39
2023,7,1,45928,8380,5859,666.77,86.19
2023,8,1,49068,9058,6084,708.33,87.99
2023,9,1,52209,9736,6309,749.89,89.78
2023,10,1,55349,10415,6534,791.45,91.58
2023,11,1,58489,11093,6759,833.01,93.38
2023,12,1,61630,11772,6984,874.56,95.17
2021,1,2,12781,5560,4025,293.81,106.47
2021,2,2,12836,5544,4021,295.22,106.37
2021,3,2,12890,5529,4016,296.64,106.28
2021,4,2,12945,5513,4011,298.06,106.18
2021,5,2,12999,5497,4007,299.47,106.09
2021,6,2,13054,5481,4002,300.89,105.99
2021,7,2,13109,5465,3997,302.3,105.9
2021,8,2,13163,5450,3993,303.72,105.8
2021,9,2,13218,5434,3988,305.14,105.71
2021,10,2,13273,5418,3984,306.55,105.61
2021,11,2,13327,5402,3979,307.97,105.52
2021,12,2,13382,5386,3974,309.38,105.42
2022,1,2,14037,5196,3918,326.38,104.28
2022,2,2,14693,5007,3863,343.37,103.14
2022,3,2,15348,4817,3807,360.36,102.01
2022,4,2,16004,4627,3751,377.36,100.87
2022,5,2,16659,4437,3695,394.35,99.73
2022,6,2,17315,4247,3640,411.34,98.59
2022,7,2,17970,4057,3584,428.34,97.45
2022,8,2,18626,3868,3528,445.33,96.31
2022,9,2,19281,3678,3472,462.32,95.17
2022,10,2,19937,3488,3417,479.32,94.03
2022,11,2,20592,3298,3361,496.31,92.89
2022,12,2,21248,3108,3305,513.3,91.75
2023,1,2,22765,3419,3669,545.46,100.08
2023,2,2,24281,3729,4032,577.61,108.42
2023,3,2,25798,4040,4395,609.77,116.75
2023,4,2,27315,4350,4759,641.92,125.08
2023,5,2,28832,4661,5122,674.08,133.41
2023,6,2,30348,4971,5485,706.23,141.74
2023,7,2,31865,5282,5849,738.39,150.07
2023,8,2,33382,5592,6212,770.54,158.41
2023,9,2,34899,5903,6575,802.7,166.74
2023,10,2,36415,6213,6939,834.85,175.07
2023,11,2,37932,6524,7302,867.01,183.4
2023,12,2,39449,6834,7665,899.16,191.73
2021,1,3,7483,2457,1927,484.35,146.02
2021,2,3,7466,2471,1935,482.91,146.48
2021,3,3,7450,2485,1943,481.46,146.94
2021,4,3,7433,2499,1952,480.02,147.39
2021,5,3,7416,2512,1960,478.58,147.85
2021,6,3,7400,2526,1968,477.14,148.31
2021,7,3,7383,2540,1976,475.7,148.77
2021,8,3,7367,2554,1984,474.26,149.22
2021,9,3,7350,2567,1992,472.81,149.68
2021,10,3,7334,2581,2001,471.37,150.14
2021,11,3,7317,2595,2009,469.93,150.6
2021,12,3,7300,2609,2017,468.49,151.05
2022,1,3,7101,2774,2115,451.19,156.54
2022,2,3,6902,2939,2213,433.89,162.03
2022,3,3,6703,3104,2311,416.59,167.52
2022,4,3,6504,3269,2409,399.29,173.01
2022,5,3,6305,3434,2507,381.99,178.5
2022,6,3,6106,3600,2605,364.68,183.99
2022,7,3,5907,3765,2703,347.38,189.48
2022,8,3,5708,3930,2801,330.08,194.97
2022,9,3,5509,4095,2899,312.78,200.46
2022,10,3,5310,4260,2997,295.48,205.95
2022,11,3,5111,4425,3095,278.18,211.44
2022,12,3,4912,4591,3193,260.88,216.93
2023,1,3,5507,4755,3318,283.56,221.02
2023,2,3,6102,4919,3443,306.25,225.11
2023,3,3,6696,5083,3567,328.93,229.19
2023,4,3,7291,5248,3692,351.61,233.28
2023,5,3,7886,5412,3817,374.3,237.36
2023,6,3,8480,5576,3942,396.98,241.45
2023,7,3,9075,5740,4067,419.66,245.53
2023,8,3,9670,5905,4192,442.35,249.62
2023,9,3,10264,6069,4316,465.03,253.71
2023,10,3,10859,6233,4441,487.71,257.79
2023,11,3,11454,6397,4566,510.4,261.88
2023,12,3,12048,6562,4691,533.08,265.96
2021,1,4,3215,1226,860,289.99,84.09
2021,2,4,3232,1227,865,291.34,85.43
2021,3,4,3250,1227,869,292.69,86.77
2021,4,4,3267,1228,874,294.04,88.11
2021,5,4,3285,1229,878,295.4,89.45
2021,6,4,3302,1229,883,296.75,90.79
2021,7,4,3320,1230,888,298.1,92.13
2021,8,4,3337,1230,892,299.45,93.47
2021,9,4,3354,1231,897,300.8,94.81
2021,10,4,3372,1232,901,302.15,96.15
2021,11,4,3389,1232,906,303.5,97.49
2021,12,4,3407,1233,911,304.86,98.83
2022,1,4,3616,1240,966,321.07,114.9
2022,2,4,3825,1247,1021,337.29,130.98
2022,3,4,4034,1254,1076,353.51,147.05
2022,4,4,4244,1262,1131,369.73,163.13
2022,5,4,4453,1269,1186,385.94,179.21
2022,6,4,4662,1276,1241,402.16,195.28
2022,7,4,4871,1283,1296,418.38,211.36
2022,8,4,5081,1291,1351,434.6,227.43
2022,9,4,5290,1298,1406,450.81,243.51
2022,10,4,5499,1305,1461,467.03,259.59
2022,11,4,5708,1312,1516,483.25,275.66
2022,12,4,5918,1320,1572,499.47,291.74
2023,1,4,6459,1358,1593,541.4,319.24
2023,2,4,7000,1397,1614,583.33,346.74
2023,3,4,7542,1435,1635,625.26,374.24
2023,4,4,8083,1473,1656,667.19,401.74
2023,5,4,8624,1512,1677,709.12,429.24
2023,6,4,9166,1550,1698,751.06,456.74
2023,7,4,9707,1589,1719,792.99,484.24
