Year,Month,City_ID,Total_Population,Population_Density_per_sqkm,Land_area_in_sqkm,Immigration
2021,1,1,6202170,4412.2,631.1,1282790
2021,2,1,6207453,4413.76,631.1,1283125
2021,3,1,6212736,4415.32,631.1,1283460
2021,4,1,6218019,4416.88,631.1,1283795
2021,5,1,6223302,4418.44,631.1,1284130
2021,6,1,6228585,4420,631.1,1284465
2021,7,1,6233868,4421.56,631.1,1284800
2021,8,1,6239151,4423.12,631.1,1285135
2021,9,1,6244434,4424.68,631.1,1285470
2021,10,1,6249717,4426.24,631.1,1285805
2021,11,1,6255000,4427.8,631.1,1286140
2021,12,1,6260283,4429.36,631.1,1286475
2022,1,1,6265566,4430.92,631.1,1286810
2022,2,1,6270849,4432.48,631.1,1287145
2022,3,1,6276132,4434.04,631.1,1287480
2022,4,1,6281415,4435.6,631.1,1287815
2022,5,1,6286698,4437.16,631.1,1288150
2022,6,1,6291981,4438.72,631.1,1288485
2022,7,1,6297264,4440.28,631.1,1288820
2022,8,1,6302547,4441.84,631.1,1289155
2022,9,1,6307830,4443.4,631.1,1289490
2022,10,1,6313113,4444.96,631.1,1289825
2022,11,1,6318396,4446.52,631.1,1290160
2022,12,1,6323679,4448.08,631.1,1290495
2023,1,1,6328962,4449.64,631.1,1290830
2023,2,1,6334245,4451.2,631.1,1291165
2023,3,1,6339528,4452.76,631.1,1291500
2023,4,1,6344811,4454.32,631.1,1291835
2023,5,1,6350094,4455.88,631.1,1292170
2023,6,1,6355377,4457.44,631.1,1292505
2023,7,1,6360660,4459,631.1,1292840
2023,8,1,6365943,4460.56,631.1,1293175
2023,9,1,6371226,4462.12,631.1,1293510
2023,10,1,6376509,4463.68,631.1,1293845
2023,11,1,6381792,4465.24,631.1,1294180
2023,12,1,6387075,4466.8,631.1,1294515
2021,1,3,1550500,1577.2,820.62,81315
2021,2,3,1553550,1578.72,820.62,81434
2021,3,3,1556600,1580.24,820.62,81553
2021,4,3,1559650,1581.76,820.62,81672
2021,5,3,1562700,1583.28,820.62,81791
2021,6,3,1565750,1584.8,820.62,81910
2021,7,3,1568800,1586.32,820.62,82029
2021,8,3,1571850,1587.84,820.62,82148
2021,9,3,1574900,1589.36,820.62,82267
2021,10,3,1577950,1590.88,820.62,82386
2021,11,3,1581000,1592.4,820.62,82505
2021,12,3,1584050,1593.92,820.62,82624
2022,1,3,1587100,1595.44,820.62,82743
2022,2,3,1590150,1596.96,820.62,82862
2022,3,3,1593200,1598.48,820.62,82981
2022,4,3,1596250,1600,820.62,83100
2022,5,3,1599300,1601.52,820.62,83219
2022,6,3,1602350,1603.04,820.62,83338
2022,7,3,1605400,1604.56,820.62,83457
2022,8,3,1608450,1606.08,820.62,83576
2022,9,3,1611500,1607.6,820.62,83695
2022,10,3,1614550,1609.12,820.62,83814
2022,11,3,1617600,1610.64,820.62,83933
2022,12,3,1620650,1612.16,820.62,84052
2023,1,3,1623700,1613.68,820.62,84171
2023,2,3,1626750,1615.2,820.62,84290
2023,3,3,1629800,1616.72,820.62,84409
2023,4,3,1632850,1618.24,820.62,84528
2023,5,3,1635900,1619.76,820.62,84647
2023,6,3,1638950,1621.28,820.62,84766
2023,7,3,1642000,1622.8,820.62,84885
2023,8,3,1645050,1624.32,820.62,85004
2023,9,3,1648100,1625.84,820.62,85123
2023,10,3,1651150,1627.36,820.62,85242
2023,11,3,1654200,1628.88,820.62,85361
2023,12,3,1657250,1630.4,820.62,85480
2021,1,4,1394330,359.9,2788.2,259215
2021,2,4,1395697,360.4,2788.2,259935
2021,3,4,1397064,360.9,2788.2,260655
2021,4,4,1398431,361.4,2788.2,261375
