Year,Month,City_ID,Total employment,Goods_producing Sector,Services producing Sector,Public Administration
2021,1,1,297370,49090,248280,10340
2021,2,1,297370,49090,248280,10340
2021,3,1,297370,49090,248280,10340
2021,4,1,297370,49090,248280,10340
2021,5,1,297370,49090,248280,10340
2021,6,1,297370,49090,248280,10340
2021,7,1,297370,49090,248280,10340
2021,8,1,297370,49090,248280,10340
2021,9,1,297370,49090,248280,10340
2021,10,1,297370,49090,248280,10340
2021,11,1,297370,49090,248280,10340
2021,12,1,297370,49090,248280,10340
2022,1,1,310720,51280,259440,11830
2022,2,1,310720,51280,259440,11830
2022,3,1,310720,51280,259440,11830
2022,4,1,310720,51280,259440,11830
2022,5,1,310720,51280,259440,11830
2022,6,1,310720,51280,259440,11830
2022,7,1,310720,51280,259440,11830
2022,8,1,310720,51280,259440,11830
2022,9,1,310720,51280,259440,11830
2022,10,1,310720,51280,259440,11830
2022,11,1,310720,51280,259440,11830
2022,12,1,310720,51280,259440,11830
2023,1,1,319050,52090,266960,11810
2023,2,1,319050,52090,266960,11810
2023,3,1,319050,52090,266960,11810
2023,4,1,319050,52090,266960,11810
2023,5,1,319050,52090,266960,11810
2023,6,1,319050,52090,266960,11810
2023,7,1,319050,52090,266960,11810
2023,8,1,319050,52090,266960,11810
2023,9,1,319050,52090,266960,11810
2023,10,1,319050,52090,266960,11810
2023,11,1,319050,52090,266960,11810
2023,12,1,319050,52090,266960,11810
2021,1,2,89933,12658,77283,4050
2021,2,2,89933,12658,77283,4050
2021,3,2,89933,12658,77283,4050
2021,4,2,89933,12658,77283,4050
2021,5,2,89933,12658,77283,4050
2021,6,2,89933,12658,77283,4050
2021,7,2,89933,12658,77283,4050
2021,8,2,89933,12658,77283,4050
2021,9,2,89933,12658,77283,4050
2021,10,2,89933,12658,77283,4050
2021,11,2,89933,12658,77283,4050
2021,12,2,89933,12658,77283,4050
2022,1,2,94083,13892,80183,4000
2022,2,2,94083,13892,80183,4000
2022,3,2,94083,13892,80183,4000
2022,4,2,94083,13892,80183,4000
2022,5,2,94083,13892,80183,4000
2022,6,2,94083,13892,80183,4000
2022,7,2,94083,13892,80183,4000
2022,8,2,94083,13892,80183,4000
