City_ID,Year,Month,Time_Leaving_For_Work,Age_Group,Main_Mode_Of_Commuting,Commuting_Duration,Avg_Commuting_Count,Transit_Ridership,Location,Road_Surface_Condition,Accident_Time,Num_Of_Vehicle,Num_Of_Injuries,Num_Of_Minor_Injuries,Num_Of_Major_Injuries,Wheelchair_Accessible,Bikes_Allowed,Traffic_Disruption,Avg_Delay_Time,Incident_Type
3,2021,1,Between 6 am and 6:59 am,15 to 24 years,Car and  truck or van,15 to 29 minutes,1745,"19,89,500", Barlow Trail and 61 Avenue SE ,01   Dry,23:19,1,,,,,,,5,Fire
3,2021,2,Between 6 am and 6:59 am,15 to 24 years,Car and  truck or van,30 to 59 minutes,1080,"19,14,000", Eastbound 16 Avenue after 19 Street NE ,01   Dry,03:10,1,,,,,,,15,Fire
3,2021,3,Between 6 am and 6:59 am,15 to 24 years,Public transit,15 to 29 minutes,65,"22,92,700", Westbound Country Hills Boulevard approaching 14 Street NW ,02   Wet,00:00,1,,,,,,,20,Fire
3,2021,4,Between 6 am and 6:59 am,25 to 34 years,Car and  truck or van,15 to 29 minutes,5680,"20,46,000", Southbound 14 Street at North Haven Drive NW ,02   Wet,03:49,1,,,,,,,8,Medical
3,2021,5,Between 6 am and 6:59 am,55 to 64 years,Public transit,15 to 29 minutes,105,"19,88,000", 2 Street and 18 Avenue SW ,01   Dry,06:22,1,,,,,,,10,Fire
3,2021,6,Between 6 am and 6:59 am,55 to 64 years,Bicycle,30 to 59 minutes,25,"24,80,000", Eastbound Glenmore Trail east of Blackfoot Trail SE ,01   Dry,20:30,1,,,,,,,12,Motor Vehicle Accident
3,2021,7,Between 8 am and 8:59 am,15 to 24 years,Car and  truck or van,60 minutes and over,55,"26,94,600", Northbound Deerfoot Trail approaching Memorial Drive SE ,06   Ice,10:45,1,1,,,,,,18,Fire
3,2021,8,Between 8 am and 8:59 am,15 to 24 years,Public transit,15 to 29 minutes,105,"27,59,100", Northbound Macleod Trail approaching Lake Fraser Gate SE ,01   Dry,18:32,2,,,,,,,30,Fire
3,2021,9,Between 8 am and 8:59 am,45 to 54 years,Car and  truck or van,30 to 59 minutes,2495,"34,67,100", Northbound Macleod Trail approaching Lake Fraser Gate SE ,01   Dry,00:00,1,,,,,,,25,Medical
3,2021,10,Between 8 am and 8:59 am,45 to 54 years,Public transit,30 to 59 minutes,130,"33,12,000", Southbound Deerfoot Trail approaching Glenmore Trail SE ,02   Wet,11:34,1,,,,,,,22,Medical
3,2021,11,Between 8 am and 8:59 am,45 to 54 years,Public transit,60 minutes and over,75,"34,13,300", Southbound Deerfoot Trail approaching Glenmore Trail SE ,02   Wet,11:47,2,,,,,,,6,Medical
