Year,Month,City_ID,max_temperature_v,min_temperature_v,Avg_temp,max_wind_speed_v,min_wind_speed_v,Average_wind_speed,precipitation_v,snow_on_ground_v
2023,12,10,-7.16,-17.19,-12.175,30.15,6.65,18.37,12.18,6.5
2023,11,10,0.42,-10.31,-4.945,30.08,6.8,18.79,13.74,2.7
2023,10,10,10.82,-2.15,4.335,30.77,6.96,18.45,26.71,0.7
2023,9,10,20.14,4.99,12.565,29.93,6.07,16.91,28.89,0.4
2023,8,10,25.39,10.32,17.855,27.75,5.46,16.8,57.43,0.4
2023,7,10,25.86,11.69,18.775,28.14,5.3,18.16,59.78,0
2023,6,10,22.54,9.2,15.87,31.01,5.75,19.51,75.88,0
2023,5,10,18.39,3.29,10.84,33.27,7.43,19.85,46.48,0.1
2023,4,10,10.33,-2.94,3.695,32.26,7.92,19.64,24.39,4.6
2023,3,10,-0.18,-10.79,-5.485,31.36,7.59,18.48,14.99,15.2
2023,2,10,-7.86,-18.8,-13.33,29.36,6.34,18.89,8.48,17.7
2023,1,10,-9.26,-19.86,-14.56,31.43,6.49,18.22,12.38,14.9
2022,12,10,-7.09,-17.18,-12.135,29.94,6.53,18.14,12.13,6.7
2022,11,10,0.56,-10.1,-4.77,29.75,6.74,18.71,13.9,2.7
2022,10,10,10.77,-2.2,4.285,30.68,6.87,18.4,26.48,0.7
2022,9,10,19.95,4.9,12.425,29.92,5.96,16.83,30.02,0.4
2022,8,10,25.25,10.18,17.715,27.69,5.4,16.7,57.74,0.4
2022,7,10,25.74,11.6,18.67,28,5.19,18.04,58.56,0
2022,6,10,22.49,9.22,15.855,30.89,5.76,19.47,76.37,0
2022,5,10,18.42,3.28,10.85,33.17,7.34,19.78,45.56,0.1
2022,4,10,10.52,-2.87,3.825,32.21,7.8,19.49,24.85,4.4
2022,3,10,0.04,-10.6,-5.28,31.17,7.52,18.29,14.98,14.9
2022,2,10,-7.67,-18.5,-13.085,29.05,6.3,18.78,8.55,17.8
2022,1,10,-9.1,-19.65,-14.375,31.25,6.45,18.2,12.37,15.1
2021,12,10,-6.96,-17.01,-11.985,29.95,6.55,18.08,12.66,7
2021,11,10,0.43,-10.24,-4.905,29.61,6.73,18.82,13.86,2.8
2021,10,10,10.62,-2.33,4.145,30.91,6.81,18.39,26.4,0.7
2021,9,10,19.82,4.9,12.36,29.96,6.01,16.83,31.13,0.3
2021,8,10,25.33,10.26,17.795,27.65,5.44,16.75,55.61,0.4
2021,7,10,25.61,11.56,18.585,28.05,5.14,18.08,60.32,0
2021,6,10,22.43,9.28,15.855,31.02,5.81,19.48,80.17,0
2021,5,10,18.42,3.42,10.92,33.14,7.38,19.84,46.12,0.1
2021,4,10,10.57,-2.72,3.925,32.29,7.89,19.46,26.46,4.4
2021,3,10,-0.15,-10.72,-5.435,31.02,7.49,18.23,15.67,14.6
2021,2,10,-7.21,-18.06,-12.635,28.97,6.14,18.65,8.87,17.9
2021,1,10,-9.27,-19.92,-14.595,31.15,6.34,6.34,12.35,15.4
2023,12,1,20,-31.1,-5.55,76,1,38.5,112.8,36
2023,11,1,25.1,-18.3,3.4,80,2,41,161.8,18
2023,10,1,31.8,-8.3,11.75,92,2,47,213.9,13
2023,9,1,36.7,-3.9,16.4,77,3,40,212.3,0
2023,8,1,38.3,1.1,19.7,71,10,40.5,163.5,0
2023,7,1,37.9,3.9,20.9,85,10,47.5,193.2,0
2023,6,1,36.7,0.6,18.65,63,4,33.5,191.6,0
2023,5,1,34.4,-5.6,14.4,71,4,37.5,208.6,0
2023,4,1,31.1,-17.2,6.95,82,2,42,150.6,13
2023,3,1,26,-28.9,-1.45,97,8,52.5,121.2,30
2023,2,1,17.7,-31.1,-6.7,77,8,42.5,107.6,48
2023,1,1,17.6,-31.3,-6.85,80,10,45,133.3,67
2022,12,1,20,-31.1,-5.55,76,2,39,112.8,36
2022,11,1,25.1,-18.3,3.4,80,4,42,161.8,18
2022,10,1,31.8,-8.3,11.75,92,2,47,213.9,13
2022,9,1,36.7,-3.9,16.4,77,5,41,212.3,0
2022,8,1,38.3,1.1,19.7,71,3,37,163.5,0
2022,7,1,37.9,3.9,20.9,85,2,43.5,193.2,0
2022,6,1,36.7,0.6,18.65,63,4,33.5,191.6,0
2022,5,1,34.4,-5.6,14.4,71,3,37,208.6,0
2022,4,1,31.1,-17.2,6.95,82,7,44.5,150.6,13
2022,3,1,26,-28.9,-1.45,97,10,53.5,121.2,30
